snapshot_date,requisition_id,requisition_title,business_unit_code,job_family_code,job_level_code,work_location,hiring_manager_id,recruiter_id,requisition_status,approval_date,target_hire_date,target_offer_acceptance_date,requested_positions,openings_position,cancelled_positions,hiring_constraint_code,updated_at,extracted_at
2024-01-31,REQ-2024-00001,Software Engineer,ENG,SWE,L2,Toronto,HM-0064,REC-22,open,2024-01-06,2024-04-29,2024-03-24,1,2,0,no_material_constraint,2024-01-06T15:00:09Z,2026-05-31T23:59:59Z
2024-01-31,REQ-2024-00002,Associate Account Executive,SAL,SLS,L1,Dublin,HM-0095,REC-04,open,2024-01-12,2024-02-26,2024-02-02,2,3,0,no_material_constraint,2024-01-12T19:22:07Z,2026-05-31T23:59:59Z
2024-01-31,REQ-2024-00003,Data Engineer,ENG,DAT,L2,Remote,HM-0109,REC-17,open,2024-01-19,2024-04-22,2024-03-20,1,2,0,no_material_constraint,2024-01-19T18:53:18Z,2026-05-31T23:59:59Z
2024-02-29,REQ-2024-00001,Software Engineer,ENG,SWE,L2,Toronto,HM-0064,REC-22,filled,2024-01-06,2024-04-29,2024-03-24,1,0,0,no_material_constraint,2024-02-25T17:47:24Z,2026-05-31T23:59:59Z
2024-02-29,REQ-2024-00002,Associate Account Executive,SAL,SLS,L1,Dublin,HM-0095,REC-04,filled,2024-01-12,2024-02-26,2024-02-02,2,0,0,no_material_constraint,2024-02-13T11:51:18Z,2026-05-31T23:59:59Z
2024-02-29,REQ-2024-00003,Data Engineer,ENG,DAT,L2,Remote,HM-0109,REC-17,open,2024-01-19,2024-04-22,2024-03-20,1,2,0,no_material_constraint,2024-01-19T18:53:18Z,2026-05-31T23:59:59Z
2024-02-29,REQ-2024-00004,Customer Success Manager,CSX,CSM,L2,Berlin,HM-0123,REC-16,open,2024-02-12,2024-04-22,2024-03-18,1,2,0,no_material_constraint,2024-02-12T18:03:40Z,2026-05-31T23:59:59Z
2024-03-31,REQ-2024-00001,Software Engineer,ENG,SWE,L2,Toronto,HM-0064,REC-22,filled,2024-01-06,2024-04-29,2024-03-24,1,0,0,no_material_constraint,2024-02-25T17:47:24Z,2026-05-31T23:59:59Z
2024-03-31,REQ-2024-00002,Associate Account Executive,SAL,SLS,L1,Dublin,HM-0095,REC-04,filled,2024-01-12,2024-02-26,2024-02-02,2,0,0,no_material_constraint,2024-02-13T11:51:18Z,2026-05-31T23:59:59Z
2024-03-31,REQ-2024-00003,Data Engineer,ENG,DAT,L2,Remote,HM-0109,REC-17,open,2024-01-19,2024-04-22,2024-03-20,1,2,0,niche_skills,2024-03-31T15:30:44Z,2026-05-31T23:59:59Z
2024-03-31,REQ-2024-00004,Customer Success Manager,CSX,CSM,L2,Berlin,HM-0123,REC-16,filled,2024-02-12,2024-04-22,2024-03-18,1,0,0,no_material_constraint,2024-03-26T12:18:27Z,2026-05-31T23:59:59Z
2024-03-31,REQ-2024-00005,Associate Account Executive,SAL,SLS,L1,Remote,HM-0082,REC-08,open,2024-03-05,2024-06-03,2024-05-05,1,2,0,no_material_constraint,2024-03-05T11:25:34Z,2026-05-31T23:59:59Z
2024-03-31,REQ-2024-00006,Senior Product Manager,PRD,PDM,L3,Austin,HM-0141,REC-18,open,2024-03-06,2024-06-10,2024-05-04,1,2,0,no_material_constraint,2024-03-06T08:43:02Z,2026-05-31T23:59:59Z
2024-04-30,REQ-2024-00001,Software Engineer,ENG,SWE,L2,Toronto,HM-0064,REC-22,filled,2024-01-06,2024-04-29,2024-03-24,1,0,0,no_material_constraint,2024-02-25T17:47:24Z,2026-05-31T23:59:59Z
2024-04-30,REQ-2024-00002,Associate Account Executive,SAL,SLS,L1,Dublin,HM-0095,REC-04,filled,2024-01-12,2024-02-26,2024-02-02,2,0,0,no_material_constraint,2024-02-13T11:51:18Z,2026-05-31T23:59:59Z
2024-04-30,REQ-2024-00003,Data Engineer,ENG,DAT,L2,Remote,HM-0109,REC-17,open,2024-01-19,2024-04-22,2024-03-20,1,2,0,niche_skills,2024-03-31T15:30:44Z,2026-05-31T23:59:59Z
2024-04-30,REQ-2024-00004,Customer Success Manager,CSX,CSM,L2,Berlin,HM-0123,REC-16,open,2024-02-12,2024-07-04,2024-05-30,1,2,0,no_material_constraint,2024-04-17T08:52:35Z,2026-05-31T23:59:59Z
2024-04-30,REQ-2024-00005,Associate Account Executive,SAL,SLS,L1,Remote,HM-0082,REC-08,filled,2024-03-05,2024-06-03,2024-05-05,1,0,0,no_material_constraint,2024-04-09T10:01:00Z,2026-05-31T23:59:59Z
2024-04-30,REQ-2024-00006,Senior Product Manager,PRD,PDM,L3,Austin,HM-0141,REC-18,open,2024-03-06,2024-06-10,2024-05-04,1,2,0,no_material_constraint,2024-03-06T08:43:02Z,2026-05-31T23:59:59Z
2024-05-31,REQ-2024-00001,Software Engineer,ENG,SWE,L2,Toronto,HM-0064,REC-22,filled,2024-01-06,2024-04-29,2024-03-24,1,0,0,no_material_constraint,2024-02-25T17:47:24Z,2026-05-31T23:59:59Z
2024-05-31,REQ-2024-00002,Associate Account Executive,SAL,SLS,L1,Dublin,HM-0095,REC-04,filled,2024-01-12,2024-02-26,2024-02-02,2,0,0,no_material_constraint,2024-02-13T11:51:18Z,2026-05-31T23:59:59Z
2024-05-31,REQ-2024-00003,Data Engineer,ENG,DAT,L2,Remote,HM-0109,REC-17,open,2024-01-19,2024-04-22,2024-03-20,1,2,0,hiring_manager_delay,2024-05-31T15:56:35Z,2026-05-31T23:59:59Z
2024-05-31,REQ-2024-00004,Customer Success Manager,CSX,CSM,L2,Berlin,HM-0123,REC-16,filled,2024-02-12,2024-07-04,2024-05-30,1,0,0,no_material_constraint,2024-05-14T17:27:06Z,2026-05-31T23:59:59Z
2024-05-31,REQ-2024-00005,Associate Account Executive,SAL,SLS,L1,Remote,HM-0082,REC-08,filled,2024-03-05,2024-06-03,2024-05-05,1,0,0,no_material_constraint,2024-04-09T10:01:00Z,2026-05-31T23:59:59Z
2024-05-31,REQ-2024-00006,Senior Product Manager,PRD,PDM,L3,Austin,HM-0141,REC-18,filled,2024-03-06,2024-06-10,2024-05-04,1,0,0,no_material_constraint,2024-05-04T12:59:55Z,2026-05-31T23:59:59Z
2024-05-31,REQ-2024-00007,Senior Customer Success Manager,CSX,CSM,L3,Toronto,HM-0066,REC-02,open,2024-05-14,2024-08-05,2024-07-01,2,3,0,compensation,2024-05-14T11:35:22Z,2026-05-31T23:59:59Z
2024-06-30,REQ-2024-00003,Data Engineer,ENG,DAT,L2,Remote,HM-0109,REC-17,filled,2024-01-19,2024-04-22,2024-03-20,1,0,0,hiring_manager_delay,2024-06-24T12:06:00Z,2026-05-31T23:59:59Z
2024-06-30,REQ-2024-00004,Customer Success Manager,CSX,CSM,L2,Berlin,HM-0123,REC-16,filled,2024-02-12,2024-07-04,2024-05-30,1,0,0,no_material_constraint,2024-05-14T17:27:06Z,2026-05-31T23:59:59Z
2024-06-30,REQ-2024-00005,Associate Account Executive,SAL,SLS,L1,Remote,HM-0082,REC-08,filled,2024-03-05,2024-06-03,2024-05-05,1,0,0,no_material_constraint,2024-04-09T10:01:00Z,2026-05-31T23:59:59Z
2024-06-30,REQ-2024-00006,Senior Product Manager,PRD,PDM,L3,Austin,HM-0141,REC-18,filled,2024-03-06,2024-06-10,2024-05-04,1,0,0,no_material_constraint,2024-05-04T12:59:55Z,2026-05-31T23:59:59Z
2024-06-30,REQ-2024-00007,Senior Customer Success Manager,CSX,CSM,L3,Toronto,HM-0066,REC-02,filled,2024-05-14,2024-08-05,2024-07-01,2,0,0,compensation,2024-06-27T11:31:33Z,2026-05-31T23:59:59Z
2024-06-30,REQ-2024-00008,Software Engineer,ENG,SWE,L2,Berlin,HM-0044,REC-10,open,2024-06-08,2024-09-16,2024-08-12,1,2,0,interview_capacity,2024-06-08T10:52:00Z,2026-05-31T23:59:59Z
2024-07-31,REQ-2024-00003,Data Engineer,ENG,DAT,L2,Remote,HM-0109,REC-17,filled,2024-01-19,2024-04-22,2024-03-20,1,0,0,hiring_manager_delay,2024-06-24T12:06:00Z,2026-05-31T23:59:59Z
2024-07-31,REQ-2024-00004,Customer Success Manager,CSX,CSM,L2,Berlin,HM-0123,REC-16,filled,2024-02-12,2024-07-04,2024-05-30,1,0,0,no_material_constraint,2024-05-14T17:27:06Z,2026-05-31T23:59:59Z
2024-07-31,REQ-2024-00005,Associate Account Executive,SAL,SLS,L1,Remote,HM-0082,REC-08,filled,2024-03-05,2024-06-03,2024-05-05,1,0,0,no_material_constraint,2024-04-09T10:01:00Z,2026-05-31T23:59:59Z
2024-07-31,REQ-2024-00006,Senior Product Manager,PRD,PDM,L3,Austin,HM-0141,REC-18,filled,2024-03-06,2024-06-10,2024-05-04,1,0,0,no_material_constraint,2024-05-04T12:59:55Z,2026-05-31T23:59:59Z
2024-07-31,REQ-2024-00007,Senior Customer Success Manager,CSX,CSM,L3,Toronto,HM-0066,REC-02,filled,2024-05-14,2024-08-05,2024-07-01,2,0,0,compensation,2024-06-27T11:31:33Z,2026-05-31T23:59:59Z
2024-07-31,REQ-2024-00008,Software Engineer,ENG,SWE,L2,Berlin,HM-0044,REC-10,open,2024-06-08,2024-09-16,2024-08-12,1,2,0,interview_capacity,2024-06-08T10:52:00Z,2026-05-31T23:59:59Z
2024-08-31,REQ-2024-00003,Data Engineer,ENG,DAT,L2,Remote,HM-0109,REC-17,filled,2024-01-19,2024-04-22,2024-03-20,1,0,0,hiring_manager_delay,2024-06-24T12:06:00Z,2026-05-31T23:59:59Z
2024-08-31,REQ-2024-00004,Customer Success Manager,CSX,CSM,L2,Berlin,HM-0123,REC-16,filled,2024-02-12,2024-07-04,2024-05-30,1,0,0,no_material_constraint,2024-05-14T17:27:06Z,2026-05-31T23:59:59Z
2024-08-31,REQ-2024-00006,Senior Product Manager,PRD,PDM,L3,Austin,HM-0141,REC-18,filled,2024-03-06,2024-06-10,2024-05-04,1,0,0,no_material_constraint,2024-05-04T12:59:55Z,2026-05-31T23:59:59Z
2024-08-31,REQ-2024-00007,Senior Customer Success Manager,CSX,CSM,L3,Toronto,HM-0066,REC-02,filled,2024-05-14,2024-08-05,2024-07-01,2,0,0,compensation,2024-06-27T11:31:33Z,2026-05-31T23:59:59Z
2024-08-31,REQ-2024-00008,Software Engineer,ENG,SWE,L2,Berlin,HM-0044,REC-10,filled,2024-06-08,2024-09-16,2024-08-12,1,0,0,interview_capacity,2024-08-03T09:18:30Z,2026-05-31T23:59:59Z
2024-08-31,REQ-2024-00009,IT Systems Engineer,GNA,ITS,L2,Dublin,HM-0058,REC-01,open,2024-08-01,2025-01-27,2024-12-26,1,2,0,no_material_constraint,2024-08-01T15:13:39Z,2026-05-31T23:59:59Z
2024-09-30,REQ-2024-00003,Data Engineer,ENG,DAT,L2,Remote,HM-0109,REC-17,filled,2024-01-19,2024-04-22,2024-03-20,1,0,0,hiring_manager_delay,2024-06-24T12:06:00Z,2026-05-31T23:59:59Z
2024-09-30,REQ-2024-00007,Senior Customer Success Manager,CSX,CSM,L3,Toronto,HM-0066,REC-02,filled,2024-05-14,2024-08-05,2024-07-01,2,0,0,compensation,2024-06-27T11:31:33Z,2026-05-31T23:59:59Z
2024-09-30,REQ-2024-00008,Software Engineer,ENG,SWE,L2,Berlin,HM-0044,REC-10,filled,2024-06-08,2024-09-16,2024-08-12,1,0,0,interview_capacity,2024-08-03T09:18:30Z,2026-05-31T23:59:59Z
2024-09-30,REQ-2024-00009,IT Systems Engineer,GNA,ITS,L2,Dublin,HM-0058,REC-01,filled,2024-08-01,2025-01-27,2024-12-26,1,0,0,no_material_constraint,2024-09-13T09:34:32Z,2026-05-31T23:59:59Z
2024-10-31,REQ-2024-00008,Software Engineer,ENG,SWE,L2,Berlin,HM-0044,REC-10,filled,2024-06-08,2024-09-16,2024-08-12,1,0,0,interview_capacity,2024-08-03T09:18:30Z,2026-05-31T23:59:59Z
2024-10-31,REQ-2024-00009,IT Systems Engineer,GNA,ITS,L2,Dublin,HM-0058,REC-01,filled,2024-08-01,2025-01-27,2024-12-26,1,0,0,no_material_constraint,2024-09-13T09:34:32Z,2026-05-31T23:59:59Z
